id,Star,Bedrooms,Baths,neighbourhood_group,latitude,longitude,room_type,price,availability_365
3176,4.63,1,1,Pankow,52.53471,13.4181,Entire home/apt,83,123
9991,5.0,4,2,Pankow,52.53269,13.41805,Entire home/apt,180,137
14325,4.67,Studio,1,Pankow,52.54813,13.40366,Entire home/apt,70,288
16644,4.72,1,1,Friedrichshain-Kreuzberg,52.50312,13.43508,Entire home/apt,90,131
30295,4.79,2,1,Pankow,52.54596,13.42291,Entire home/apt,126,280
17904,4.77,Studio,1,Neukölln,52.49419,13.42166,Entire home/apt,25,10
20858,4.49,2,1,Pankow,52.53711,13.40888,Entire home/apt,179,134
34854,No_Stars,1,1,Charlottenburg-Wilm.,52.49546,13.30858,Entire home/apt,60,107
21869,4.74,1,1,Friedrichshain-Kreuzberg,52.5046,13.43374,Entire home/apt,70,77
37004,4.71,1,1,Tempelhof - Schöneberg,52.49376,13.36408,Private room,60,295
22438,4.70,2,1,Mitte,52.53408,13.38871,Entire home/apt,53,342
37554,4.38,4,2,Mitte,52.50906,13.39374,Entire home/apt,19,0
22677,4.80,2,1,Mitte,52.53355,13.40476,Entire home/apt,170,212
41217,4.71,1,1,Pankow,52.5378,13.41287,Private room,43,0
23834,4.37,1,1,Friedrichshain-Kreuzberg,52.49134,13.37975,Entire home/apt,65,42
42809,4.90,2,1,Friedrichshain-Kreuzberg,52.51099,13.45642,Entire home/apt,189,277
26543,4.65,2,2,Pankow,52.54419,13.41956,Entire home/apt,280,0
44083,4.41,1,1,Treptow - Köpenick,52.48938,13.44141,Entire home/apt,80,264
28156,4.66,Studio,1,Pankow,52.54804,13.40349,Entire home/apt,70,0
44423,4.83,1,1,Friedrichshain-Kreuzberg,52.50943,13.45458,Private room,56,0
29279,4.81,2,1,Pankow,52.54367,13.42431,Entire home/apt,100,282
47938,5.0,2,2,Pankow,52.53197,13.41994,Entire home/apt,169,0
212470,4.75,1,1,Friedrichshain-Kreuzberg,52.49757,13.38215,Private room,40,0
55853,4.79,1,1,Charlottenburg-Wilm.,52.50469,13.29409,Entire home/apt,60,258
57049,4.92,2,2,Pankow,52.54758,13.40632,Entire home/apt,280,171
214518,4.48,1,1,Charlottenburg-Wilm.,52.5189,13.3009,Private room,41,233
62613,4.66,1,1,Friedrichshain-Kreuzberg,52.49612,13.42306,Entire home/apt,100,30
64014,4.75,2,2,Mitte,52.54059,13.40301,Entire home/apt,179,15
220445,4.79,1,1,Charlottenburg-Wilm.,52.52545,13.29847,Entire home/apt,55,184
64245,4.96,1,1,Pankow,52.54994,13.406019,Private room,78,71
221015,4.81,2,1,Mitte,52.54223,13.35284,Entire home/apt,111,17
64590,4.98,2,1,Neukölln,52.49337,13.42555,Entire home/apt,140,10
222784,4.72,1,1,Mitte,52.52875,13.34062,Entire home/apt,54,210
68448,4.59,Studio,1,Pankow,52.55004,13.41518,Entire home/apt,129,342
69780,No_Stars,1,1,Pankow,52.5488,13.40425,Entire home/apt,106,356
229099,4.94,1,1,Treptow - Köpenick,52.40484,13.53339,Private room,47,53
229348,4.61,1,1,Mitte,52.52067184,13.34128094,Entire home/apt,94,300
72079,4.70,1,1,Charlottenburg-Wilm.,52.5078,13.31867,Entire home/apt,83,180
229363,4.51,1,1,Mitte,52.52147675,13.34249592,Entire home/apt,91,338
229776,4.91,1,1,Mitte,52.52861,13.40527,Private room,49,144
80843,4.95,Studio,1,Charlottenburg-Wilm.,52.48074,13.28903,Entire home/apt,101,0
230411,5.0,1,1,Friedrichshain-Kreuzberg,52.49802,13.4409,Private room,68,41
81049,4.95,2,1,Mitte,52.52142,13.38983,Entire home/apt,178,95
230611,5.0,4,2,Tempelhof - Schöneberg,52.39095,13.39185,Entire home/apt,99,121
81081,4.93,1,1,Pankow,52.55064,13.41466,Entire home/apt,70,65
83614,4.86,2,1,Pankow,52.54677,13.41894,Entire home/apt,261,307
85560,4.71,2,1,Mitte,52.53036,13.38137,Entire home/apt,95,288
231598,4.66,2,1,Tempelhof - Schöneberg,52.49132,13.35102,Entire home/apt,44,256
86090,4.89,2,1,Pankow,52.54715,13.42657,Entire home/apt,142,38
89102,4.80,1,1,Pankow,52.54048,13.41087,Entire home/apt,130,7
233083,4.95,1,1,Charlottenburg-Wilm.,52.50587,13.29551,Entire home/apt,105,286
233770,4.74,1,1,Marzahn - Hellersdorf,52.47798,13.60628,Entire home/apt,59,268
102882,4.70,5,2,Friedrichshain-Kreuzberg,52.48924,13.42371,Entire home/apt,521,0
237670,4.83,1,1,Neukölln,52.44127,13.46116,Entire home/apt,52,230
115576,4.97,1,1,Pankow,52.58178,13.3962,Entire home/apt,82,299
238396,4.82,1,1,Pankow,52.53218,13.41571,Entire home/apt,111,61
117649,4.72,1,1,Friedrichshain-Kreuzberg,52.49989,13.4448,Entire home/apt,68,137
127708,4.83,1,1,Mitte,52.52536,13.40488,Entire home/apt,123,291
135097,4.45,3,1,Tempelhof - Schöneberg,52.49944,13.34685,Entire home/apt,157,254
139769,4.77,1,1,Mitte,52.52784,13.39275,Entire home/apt,106,130
145249,4.68,2,1,Friedrichshain-Kreuzberg,52.51604,13.46059,Private room,87,7
242794,4.77,1,2,Friedrichshain-Kreuzberg,52.51367,13.45527,Entire home/apt,140,223
147339,4.92,1,1,Tempelhof - Schöneberg,52.48033,13.3609,Entire home/apt,100,323
151249,4.43,1,1,Friedrichshain-Kreuzberg,52.49681,13.41758,Entire home/apt,61,287
242908,No_Stars,1,1,Steglitz - Zehlendorf,52.41643,13.16445,Entire home/apt,125,270
242927,No_Stars,1,1,Steglitz - Zehlendorf,52.41618,13.16461,Entire home/apt,85,302
242978,4.62,Studio,1,Mitte,52.52826,13.33044,Entire home/apt,82,262
159454,4.88,2,1,Charlottenburg-Wilm.,52.47844,13.30973,Entire home/apt,200,0
162111,4.93,1,1,Neukölln,52.47705,13.44574,Private room,69,3
243057,4.75,1,1,Mitte,52.53094,13.33453,Entire home/apt,204,216
243063,4.64,2,1,Mitte,52.52779,13.39108,Entire home/apt,180,73
163287,4.81,1,1,Friedrichshain-Kreuzberg,52.49295,13.39657,Entire home/apt,59,219
163411,4.69,2,1,Friedrichshain-Kreuzberg,52.49919,13.43648,Entire home/apt,130,113
243081,4.72,2,1,Mitte,52.52983,13.39275,Entire home/apt,200,78
164475,4.58,1,1,Friedrichshain-Kreuzberg,52.50266,13.43547,Private room,55,103
243238,4.55,2,1,Treptow - Köpenick,52.44612,13.49829,Entire home/apt,85,316
245744,4.52,3,1,Mitte,52.52024,13.3907,Entire home/apt,246,244
168615,4.95,1,1,Pankow,52.58045,13.44398,Entire home/apt,54,316
173153,4.81,2,2,Mitte,52.52889,13.40726,Entire home/apt,80,227
174391,No_Stars,1,1,Mitte,52.52959,13.39763,Private room,42,0
174547,4.71,2,1,Mitte,52.51107,13.41645,Entire home/apt,103,0
174560,4.71,2,1,Mitte,52.51112,13.41596,Entire home/apt,78,0
174576,4.66,2,1,Mitte,52.51101,13.41584,Entire home/apt,103,0
245827,4.53,1,1,Mitte,52.50974,13.39971,Entire home/apt,171,175
174579,4.66,2,1,Mitte,52.50898,13.41535,Entire home/apt,78,0
250007,4.78,1,1,Tempelhof - Schöneberg,52.49512,13.35251,Entire home/apt,79,180
250253,4.47,2,2,Charlottenburg-Wilm.,52.51792,13.30729,Entire home/apt,128,45
176342,4.71,3,2,Friedrichshain-Kreuzberg,52.50254,13.39134,Entire home/apt,456,311
176355,4.53,2,2,Friedrichshain-Kreuzberg,52.50254,13.39134,Entire home/apt,319,312
250376,4.81,1,1,Friedrichshain-Kreuzberg,52.51247,13.45385,Private room,350,324
179102,4.82,3,1,Pankow,52.57051,13.39872,Entire home/apt,250,314
250687,4.84,1,1,Tempelhof - Schöneberg,52.48471,13.35982,Entire home/apt,85,0
250704,4.96,1,1,Tempelhof - Schöneberg,52.42191,13.37495,Entire home/apt,69,320
